,CollegeCode,College,Department,Area
7373,LAG,Liberal Arts & Sciences,Cinematic Arts,Cinematic Arts
7374,CEG,University College,University College Admin,Continuing Edu.
7375,LAG,Liberal Arts & Sciences,Performing Arts Group,Performing Arts
7376,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
7377,LWG,Law,Law Administration,Law
7378,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
7379,SAG,Student Aid,Student Aid General Admin,Student Aid
7380,MEG,Medicine,Family Medicine,Family Medicine
7381,MEG,Medicine,Ponseti International Associat,Ponseti Intl Assoc & Children'
7382,SAG,Student Aid,Student Aid General Admin,Student Aid
7383,BUG,Business,Business Administration,Business
7384,LAG,Liberal Arts & Sciences,Journalism,Journalism
7385,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
7386,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
7387,LAG,Liberal Arts & Sciences,Political Science,Political Sci.
7388,HSG,UI Hospitals and Clinics,UI Children's Hospital,Center for Disabilities & Dev
7389,MEG,Medicine,Cancer Center,Cancer Center
7390,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
7391,LWG,Law,Law Administration,Law
7392,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7393,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7394,P1G,Provost Area Accounts,Provost Area Accounts,Office of Diversity
7395,SAG,Student Aid,Student Aid General Admin,Student Aid
7396,ENG,Engineering,Mechanical Engineering,Mechanical Eng.
7397,LAG,Liberal Arts & Sciences,Journalism,Journalism
7398,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
7399,BUG,Business,Business Administration,Business
7400,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
7401,OCG,Pentacrest Museums,Old Capitol Administration,Old Capitol
7402,ENG,Engineering,Engineering Administration,Engineering
7403,UKG,Unknown,Unknown Designation Admin,Unknown
7404,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
7405,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7406,ATG,Athletics,Athletics Campaigns,Kinnick Edge
7407,MEG,Medicine,Internal Medicine,Internal Medicine Admin.
7408,PQG,Public Health,Occupation & Environment Hlth,Occupational & Environ. Hlth.
7409,NUG,Nursing,Nursing Administration,Nursing General
7410,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
7411,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
7412,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Childrens Hosp
7413,LWG,Law,Law Foundation,Law Endowment Campaign
7414,LAG,Liberal Arts & Sciences,Religion,Religion
7415,MEG,Medicine,Pediatrics,Pediatrics
7416,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
7417,ENG,Engineering,Civil/Environmental Engineering,Civil/Env. Eng.
7418,LAG,Liberal Arts & Sciences,Classics,Classics
7419,MEG,Medicine,Cancer Center,Cancer Center
7420,LAG,Liberal Arts & Sciences,Art and Art History,Art & Art Hist.
7421,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7422,LAG,Liberal Arts & Sciences,World Languages & Cultures,French and Italian
7423,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
7424,MEG,Medicine,Cancer Center,Cancer Center
7425,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
7426,ENG,Engineering,Mechanical Engineering,Mechanical Eng.
7427,MEG,Medicine,Radiology,Radiology
7428,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
7429,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
7430,LIG,UI Libraries,University Libraries Admin,Women's Archives
7431,GCG,Graduate College,Graduate College Admin,Graduate College
7432,LWG,Law,Law Administration,Law
7433,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
7434,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
7435,SAG,Student Aid,Student Aid General Admin,Student Aid
7436,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
7437,LWG,Law,Law Foundation,30-425-000 (IA Law School Fdn)
7438,SAG,Student Aid,Student Aid General Admin,Student Aid
7439,BUG,Business,Business Administration,Management & Entrepreneurship
7440,MEG,Medicine,Otolaryngology,Otolaryngology
7441,BUG,Business,Business Administration,Business
7442,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
7443,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
7444,ATG,Athletics,Athletics I-Club Membership,Athletics/Other M or W/I-Club
7445,BUG,Business,Business Administration,Finance
7446,LAG,Liberal Arts & Sciences,Cinematic Arts,Cinematic Arts
7447,SAG,Student Aid,Student Aid General Admin,Student Aid
7448,GCG,Graduate College,Graduate College Admin,Int'l. Writing
7449,LAG,Liberal Arts & Sciences,Classics,Classics
7450,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
7451,VSG,Office of Univ Student Service,VP Student Services Admin,RVAP - RP
7452,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
7453,ENG,Engineering,Chemical/Materials Engineering,Chem./Mat. Eng.
7454,MEG,Medicine,Cancer Center,Cancer Center
7455,GCG,Graduate College,Graduate College Admin,UI Press
7456,ENG,Engineering,Engineering Administration,Engineering
7457,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
7458,MEG,Medicine,Internal Medicine,Rheumatology
7459,MEG,Medicine,Neuroscience Institute,Neuroscience Area
7460,LWG,Law,Law Administration,Law
7461,LWG,Law,Law Foundation,Law Foundation
7462,NUG,Nursing,Nursing Administration,Nursing General
7463,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Lib. Arts & Sciences Unrestric
7464,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7465,BUG,Business,Business Administration,Business
7466,NUG,Nursing,Nursing Administration,Nursing General
7467,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
7468,LWG,Law,Law Foundation,Law Foundation
7469,MEG,Medicine,Psychiatry,Psychiatry & Childrens Hospita
7470,LAG,Liberal Arts & Sciences,Journalism,Journalism
7471,BUG,Business,Business Administration,Business
7472,VRG,Office of University Research,VP Research Administration,VP Research
7473,ENG,Engineering,Engineering Administration,Engineering
7474,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
7475,ENG,Engineering,Engineering Administration,Engineering
7476,MEG,Medicine,Neuroscience Institute,Neuroscience Area
7477,LAG,Liberal Arts & Sciences,Art and Art History,Art & Art Hist.
7478,ENG,Engineering,Civil/Environmental Engineering,Civil/Env. Eng.
7479,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
7480,LAG,Liberal Arts & Sciences,Computer Science,Computer Sci.
7481,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
7482,VSG,Office of Univ Student Life,VP Student Life Admin,Multi/Intl Student Suppt/Eng
7483,VSG,Office of Univ Student Life,VP Student Life Admin,Multi/Intl Student Suppt/Eng
7484,BUG,Business,Business Administration,Finance
7485,LAG,Liberal Arts & Sciences,Literary Arts,English
7486,MEG,Medicine,Neuroscience Institute,Neuroscience Area
7487,MEG,Medicine,Eagles Diabetes Research Cente,Eagles Diabetes Research Cente
7488,MUG,Museum of Art,Museum Administration,Museum of Art General
7489,MEG,Medicine,Pediatrics,Pediatric Allergy-Pulmonary
7490,PQG,Public Health,Public Health Administration,IIPHRP
7491,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
7492,MEG,Medicine,OB/Gyn,Ob/Gyn
7493,UnivofIowa,University of Iowa,University of Iowa Administration,University of Iowa Receipt Only
7494,LAG,Liberal Arts & Sciences,Music,Music
7495,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7496,MEG,Medicine,Otolaryngology,Otolaryngology
7497,ATG,Athletics,Athletics I-Club Membership,Athletics/Women I-Club
7498,MEG,Medicine,Pediatrics,Pediatrics
7499,MEG,Medicine,Dermatology,Dermatology
7500,LWG,Law,Law Foundation,Law Endowment Campaign
7501,MEG,Medicine,Medicine Administration,Medicine Administration
7502,ENG,Engineering,Engineering Administration,Engineering
7503,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
7504,ATG,Athletics,Athletics I-Club Membership,Athletics/Men's/I-Club
7505,MEG,Medicine,Urology,Urology
7506,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
7507,BUG,Business,Business Administration,Business
7508,BUG,Business,Business Administration,Business
7509,EDG,Education,Education Administration,Education
7510,UUG,UI Unrestricted,UI Unrestricted Administration,Iowa Impact Fund
7511,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
7512,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
7513,MEG,Medicine,Anesthesiology,Anesthesiology
7514,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,Burn accounts
7515,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
7516,SAG,Student Aid,Student Aid General Admin,Student Aid Iowa Club Accts
7517,MEG,Medicine,Medicine Administration,Medicine Administration
7518,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
7519,DIG,Daily Iowan,Daily Iowan,Daily Iowan
7520,HAG,Hancher,Hancher Administration,Hancher
7521,LIG,UI Libraries,University Libraries Admin,Women's Archives
7522,ATG,Athletics,Athletics Non-Membership,Athletics/Other Wom/No I-Club
7523,MEG,Medicine,Pediatrics,Pediatrics
7524,NUG,Nursing,Nursing Administration,Nursing General
7525,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences Other
7526,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
7527,LWG,Law,Law Administration,Law
7528,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
7529,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
7530,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
7531,LWG,Law,Law Foundation,Law Foundation
7532,VRG,Office of University Research,VP Research Administration,Obermann
7533,HAG,Hancher,Hancher Administration,Hancher
7534,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
7535,P1G,Provost Area Accounts,Provost Area Accounts,Office of Diversity
7536,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
7537,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
7538,SAG,Student Aid,Student Aid General Admin,Student Aid
7539,LAG,Liberal Arts & Sciences,Journalism,Journalism
7540,LAG,Liberal Arts & Sciences,Journalism,Journalism
7541,MUG,Museum of Art,Museum Administration,Museum of Art General
7542,MEG,Medicine,Pediatrics,Pediatric Endocrinology
7543,MEG,Medicine,Neuroscience Institute,Neuroscience Area
7544,LAG,Liberal Arts & Sciences,Journalism,Journalism
7545,ENG,Engineering,Engineering Administration,Engineering
7546,VSG,Office of Univ Student Life,VP Student Life Admin,Multi/Intl Student Suppt/Eng
7547,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
7548,VFG,Vice President Finance,VP Finance Administration,VP Finance Development
7549,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
7550,LWG,Law,Law Foundation,Law Foundation
7551,EDG,Education,Education Administration,Education
7552,LAG,Liberal Arts & Sciences,World Languages & Cultures,German
7553,MEG,Medicine,Medicine Administration,Medicine Administration
7554,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
7555,BUG,Business,Business Administration,Business
7556,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7557,SAG,Student Aid,Student Aid General Admin,Student Aid
7558,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
7559,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
7560,EDG,Education,Education Administration,Education
7561,BUG,Business,Accounting Group,Accounting
7562,MEG,Medicine,Neurology,Neurology
7563,LAG,Liberal Arts & Sciences,Literary Arts,Literary Arts
7564,CUG,Campus Beautification,Campus Beautification Admin,Campus Beautification
7565,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
7566,LWG,Law,Law Foundation,Law Foundation
7567,LAG,Liberal Arts & Sciences,Literary Arts,Nonfiction Writing
7568,UnivofIowa,University of Iowa,University of Iowa Administration,University of Iowa Receipt Only
7569,SAG,Student Aid,Student Aid General Admin,Student Aid
7570,EDG,Education,Education Administration,Education
7571,LAG,Liberal Arts & Sciences,Earth & Environmental Science,Earth & Environmental Sciences
7572,EDG,Education,Education Administration,Dept of Psych & Quant Fdns
7573,MEG,Medicine,Pediatrics,Hematology/Oncology
7574,MEG,Medicine,Otolaryngology,Otolaryngology
7575,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
7576,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
7577,MEG,Medicine,Medicine Administration,Medicine Administration
7578,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
7579,MEG,Medicine,Pediatrics,Pediatric Rheumatology
7580,ENG,Engineering,Engineering Administration,Engineering
7581,MEG,Medicine,Medicine Administration,Medicine Capital Campaign
7582,MEG,Medicine,Pediatrics,Pediatrics
7583,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
7584,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
7585,NUG,Nursing,Nursing Administration,Nursing General
7586,EDG,Education,Education Administration,Education
7587,LAG,Liberal Arts & Sciences,Religion,Religion
7588,MEG,Medicine,Pathology,Pathology
7589,DEG,Dentistry,Periodontics,Periodontics
7590,LAG,Liberal Arts & Sciences,Music,Music
7591,MEG,Medicine,Medicine Administration,Medicine Administration
7592,SAG,Student Aid,Student Aid General Admin,Student Aid
7593,MEG,Medicine,Neurology,Neurology
7594,HAG,Hancher,Hancher Administration,Hancher
7595,MEG,Medicine,Internal Medicine,Hematology/Oncology
7596,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
7597,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
7598,EDG,Education,Education Administration,Education
7599,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
7600,EDG,Education,Education Administration,Dept of Ed Pol & Ldr Studies
7601,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
7602,LWG,Law,Law Administration,Law
7603,BUG,Business,Business Administration,Business
7604,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7605,MHG,UI Health Care,UI Health Care,UI Health Care
7606,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
7607,MEG,Medicine,Pediatrics,Hematology/Oncology
7608,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
7609,BUG,Business,Business Administration,Business
7610,MEG,Medicine,Medicine Administration,Medicine Administration
7611,MEG,Medicine,Neurosurgery,Neurosurgery
7612,LIG,UI Libraries,University Libraries Admin,UI Libraries
7613,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
7614,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
7615,BUG,Business,Business Administration,Business
7616,MEG,Medicine,Pediatrics,Pediatric Rheumatology
7617,LWG,Law,Law Foundation,Law Endowment Campaign
7618,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7619,NUG,Nursing,Nursing Administration,Nursing Centennial
7620,BUG,Business,Accounting Group,Accounting
7621,MEG,Medicine,Medicine Administration,Medicine Administration
7622,MEG,Medicine,Anesthesiology,Anesthesiology
7623,EDG,Education,Belin Blank Center,Belin Center
7624,NUG,Nursing,Nursing Administration,Nursing General
7625,MEG,Medicine,Medicine Administration,Medicine Administration
7626,MEG,Medicine,Pediatrics,Pediatric Allergy-Pulmonary
7627,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
7628,ENG,Engineering,Engineering Administration,Engineering
7629,MEG,Medicine,Basic Sciences,Microbiology
7630,VFG,Vice President Finance,VP Finance Administration,VP Finance Development
7631,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
7632,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7633,LAG,Liberal Arts & Sciences,Literary Arts,Nonfiction Writing
7634,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7635,BUG,Business,Business Administration,Finance
7636,EDG,Education,Education Administration,Dept of Teaching & Learning
7637,LAG,Liberal Arts & Sciences,Dance,Dance
7638,LAG,Liberal Arts & Sciences,Political Science,Political Sci.
7639,LAG,Liberal Arts & Sciences,Earth & Environmental Science,Earth & Environmental Sciences
7640,ENG,Engineering,Engineering Administration,Engineering
7641,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
7642,ENG,Engineering,Mechanical Engineering,Mechanical Eng.
7643,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
7644,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
7645,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
7646,HAG,Hancher,Hancher Administration,Hancher
7647,MEG,Medicine,Associated Medical Sciences,Phys. Therapy
7648,MEG,Medicine,Cancer Center,Cancer Center
7649,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
7650,LWG,Law,Law Foundation,Law Foundation - LF
7651,BUG,Business,Business Administration,Business
7652,EDG,Education,Education Administration,Education
7653,NUG,Nursing,Nursing Administration,Nursing General
7654,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
7655,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
7656,MEG,Medicine,Medicine Administration,Medicine Administration
7657,BUG,Business,MBA,MBA
7658,MEG,Medicine,Neurology,Neurology
7659,MEG,Medicine,Medicine Administration,Global Education
7660,LIG,UI Libraries,University Libraries Admin,Special Collections
7661,LAG,Liberal Arts & Sciences,World Languages & Cultures,German
7662,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
7663,MEG,Medicine,Internal Medicine,Division of General Internal Medicine
7664,MEG,Medicine,Medicine Administration,Medicine Administration
7665,LIG,UI Libraries,University Libraries Admin,UI Libraries
7666,PQG,Public Health,Public Health Administration,Public Health
7667,LWG,Law,Law Foundation,Law Foundation
7668,LIG,UI Libraries,University Libraries Admin,UI Libraries
7669,MEG,Medicine,Surgery,Surgery General
7670,PQG,Public Health,Health Management and Policy,Health Management and Policy
7671,GCG,Graduate College,Graduate College Admin,Graduate College
7672,LAG,Liberal Arts & Sciences,Social Work,Social Work
7673,LAG,Liberal Arts & Sciences,Religion,Religion
7674,MEG,Medicine,Medicine Administration,Medicine Administration
7675,MEG,Medicine,Cancer Center,Cancer Center
7676,MEG,Medicine,Neurology,Neurology
7677,GCG,Graduate College,Graduate College Admin,Graduate College
7678,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
7679,BUG,Business,Business Administration,Business
7680,DEG,Dentistry,Preventive & Community Dentist,Preventive & Comm. Dentistry
7681,MEG,Medicine,Cancer Center,Urology/Cancer
7682,BUG,Business,Business Administration,Business
7683,SAG,Student Aid,Student Aid General Admin,Student Aid
7684,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
7685,SAG,Student Aid,Student Aid General Admin,Student Aid
7686,BUG,Business,Business Administration,COBAB
7687,MEG,Medicine,Pediatrics,Pediatric Neonatology
7688,LAG,Liberal Arts & Sciences,Mathematical Sciences,Mathematics
7689,BUG,Business,Business Administration,Business
7690,LWG,Law,Law Foundation,Law Endowment Campaign
7691,VSG,Office of Univ Student Life,VP Student Life Admin,RVAP
7692,MEG,Medicine,Pediatrics,Pediatric Nephrology
7693,NUG,Nursing,Nursing Administration,Nursing General
7694,MEG,Medicine,Psychiatry,Psychiatry
7695,WSG,WSUI/KSUI,WSUI/KSUI Admin,WSUI/KSUI
7696,BUG,Business,Business Administration,Business
7697,ENG,Engineering,Engineering Administration,Engineering
7698,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7699,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
7700,MEG,Medicine,Neurology,Neurology
7701,MEG,Medicine,Medicine Administration,Medicine Administration
7702,ATG,Athletics,Athletics Campaigns,Varsity Golf Complex
7703,MEG,Medicine,Medicine Administration,Medicine Administration
7704,ENG,Engineering,Civil/Environmental Engineering,Civil/Env. Eng.
7705,DEG,Dentistry,Dentistry Administration,Dentistry General
7706,LAG,Liberal Arts & Sciences,Music,Music
7707,LAG,Liberal Arts & Sciences,Music,Music
7708,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
7709,EDG,Education,Education Administration,Education
7710,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Arts Acquistion
7711,EDG,Education,Education Administration,Education
7712,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
7713,MUG,Museum of Art,Museum Administration,Museum of Art General
7714,NUG,Nursing,Nursing Administration,Nursing General
7715,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7716,LAG,Liberal Arts & Sciences,Social Work,Social Work
7717,BUG,Business,Business Administration,Business
7718,ATG,Athletics,Athletics I-Club Membership,Athletics/Men's/I-Club
7719,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
7720,PQG,Public Health,Public Health Administration,Public Health
7721,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
7722,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7723,LWG,Law,Law Administration,Law
7724,MEG,Medicine,Urology,Urology
7725,MEG,Medicine,Basic Sciences,Biochemistry & Molecular Biolo
7726,LAG,Liberal Arts & Sciences,Political Science,Political Sci.
7727,LAG,Liberal Arts & Sciences,Performing Arts Group,Performing Arts
7728,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
7729,SAG,Student Aid,Student Aid General Admin,Student Aid
7730,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
7731,MEG,Medicine,Cardiothoracic Surgery,Cardiothoracic Surgery
7732,LAG,Liberal Arts & Sciences,Rhetoric,Rhetoric
7733,NUG,Nursing,Nursing Administration,Nursing General
7734,LWG,Law,Law Foundation,Law Foundation
7735,MEG,Medicine,Medicine Administration,Medicine Administration
7736,LAG,Liberal Arts & Sciences,Literary Arts,Nonfiction Writing
7737,LAG,Liberal Arts & Sciences,Music,Music
7738,BUG,Business,Business Administration,Business
7739,LAG,Liberal Arts & Sciences,Journalism,Journalism
7740,MEG,Medicine,Medicine Administration,Medicine Administration
7741,LAG,Liberal Arts & Sciences,Music,Music
7742,LAG,Liberal Arts & Sciences,Political Science,Political Sci.
7743,EDG,Education,Education Administration,Education
7744,NUG,Nursing,Nursing Administration,Nursing Centennial
7745,PQG,Public Health,Community & Behavioral Health,Community & Behavioral Health
7746,MEG,Medicine,Basic Sciences,Anatomy and Cell Biology
7747,LWG,Law,Law Foundation,30-425-000 (IA Law School Fdn)
7748,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7749,OCG,Pentacrest Museums,Pentacrest Museums,Pentacrest Museums
7750,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
7751,PQG,Public Health,Public Health Administration,Public Health
7752,SAG,Student Aid,Student Aid General Admin,Student Aid
7753,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
7754,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
7755,LAG,Liberal Arts & Sciences,Dance,Dance
7756,LAG,Liberal Arts & Sciences,World Languages & Cultures,French and Italian
7757,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7758,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7759,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
7760,MEG,Medicine,Medicine Administration,Medicine Administration
7761,EDG,Education,Education Administration,Education
7762,ENG,Engineering,Engineering Administration,Engineering
7763,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
7764,MEG,Medicine,Cancer Center,Cancer Center
7765,MEG,Medicine,Otolaryngology,Otolaryngology
7766,ENG,Engineering,Civil/Environmental Engineering,Civil/Env. Eng.
7767,HAG,Hancher,Hancher Administration,Hancher
7768,MEG,Medicine,Medicine Administration,Medicine Administration
7769,BUG,Business,Accounting Group,Accounting
7770,DEG,Dentistry,Prosthodontics,Prosthodontics
7771,MEG,Medicine,Medicine Administration,Medicine Administration
7772,WSG,WSUI/KSUI,WSUI/KSUI Admin,WSUI/KSUI
7773,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
7774,MEG,Medicine,Psychiatry,Psychiatry
7775,MEG,Medicine,Basic Sciences,Microbiology
7776,MEG,Medicine,Internal Medicine,Allergy/Immunology - I1
7777,LAG,Liberal Arts & Sciences,Journalism,Journalism
7778,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
7779,LWG,Law,Law Foundation,Law Foundation
7780,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
7781,LAG,Liberal Arts & Sciences,Geography,Geography
7782,LAG,Liberal Arts & Sciences,Communication Studies,Communication Studies
7783,VSG,Office of Univ Student Life,VP Student Life Admin,Student Disability Services
7784,NUG,Nursing,Nursing Administration,Nursing General
7785,LWG,Law,Law Foundation,Law Endowment Campaign
7786,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
7787,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
7788,MEG,Medicine,Medicine Administration,Medicine Administration
7789,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
7790,LAG,Liberal Arts & Sciences,Communication Studies,Communication Studies
7791,LIG,UI Libraries,University Libraries Admin,UI Libraries
7792,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
7793,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
7794,ATG,Athletics,Athletics I-Club Membership,Athletics/Women I-Club
7795,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
7796,DEG,Dentistry,Dentistry Administration,Dentistry General
7797,BUG,Business,Business Administration,Pappajohn Entrepreneurial Ctr
7798,VSG,Office of Univ Student Life,VP Student Life Admin,WRAC
7799,BUG,Business,Accounting Group,Accounting
7800,MEG,Medicine,Internal Medicine,Hematology/Oncology
7801,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,CHAMPS
7802,UUG,UI Unrestricted,UI Unrestricted Administration,Unrestricted to University
7803,LIG,UI Libraries,University Libraries Admin,Special Collections
7804,NUG,Nursing,Nursing Administration,Nursing Centennial
7805,EDG,Education,Education Administration,Dept of Teaching & Learning
7806,PQG,Public Health,Epidemiology,Epidemiology
7807,SAG,Student Aid,Student Aid General Admin,Student Aid Iowa Club Accts
7808,CEG,University College,University College Admin,Honors Program
7809,BUG,Business,Accounting Group,Accounting
7810,MEG,Medicine,Medicine Administration,Medicine Administration
7811,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
7812,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
7813,MEG,Medicine,Medicine Administration,Medicine Administration
7814,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
7815,MEG,Medicine,Medicine Administration,Medicine Administration
7816,MEG,Medicine,Cancer Center,Cancer Center
7817,HAG,Hancher,Hancher Administration,Arts Education
7818,MEG,Medicine,Cardiothoracic Surgery,Cardiothoracic Surgery
7819,EDG,Education,Belin Blank Center,Belin Center
7820,SAG,Student Aid,Student Aid General Admin,Student Aid
